user_id,diet_id
3,5
3,8
5,5
6,3
8,2
8,6
9,1
10,2
10,8
11,4
11,6
11,8
13,7
14,2
14,7
16,6
17,1
18,3
20,3
20,4
20,6
20,8
21,4
21,6
22,2
23,2
24,3
25,6
25,8
26,5
26,6
28,2
28,6
28,7
29,3
29,6
31,7
33,3
34,2
35,4
36,1
37,1
38,4
38,8
39,1
40,1
43,8
44,2
44,4
46,4
47,6
48,3
48,7
49,3
51,7
52,3
54,3
54,7
55,4
57,2
57,5
58,4
58,7
59,2
60,2
60,7
62,5
62,6
64,7
65,4
65,5
66,7
67,3
68,8
70,3
71,3
72,4
73,8
78,3
78,4
78,7
80,4
82,4
85,3
85,8
86,3
87,4
88,6
88,8
89,4
92,6
94,3
95,7
102,3
103,5
104,6
106,3
106,4
106,5
106,6
108,3
109,5
110,4
111,2
112,2
113,4
113,7
114,4
115,3
115,5
116,2
118,5
118,8
119,8
120,2
120,4
120,5
120,7
121,7
123,5
124,7
127,3
129,1
131,6
133,3
133,6
134,6
135,2
135,7
136,3
136,4
136,8
140,7
142,6
142,8
143,2
143,5
143,8
144,2
144,7
145,8
146,1
147,2
147,7
149,1
150,4
150,6
151,4
152,8
153,6
154,3
156,2
158,4
158,8
159,4
160,2
161,3
162,5
162,6
163,1
164,2
164,8
165,1
166,1
167,3
167,5
168,2
168,4
168,6
170,7
171,5
172,3
173,3
174,4
176,6
176,8
177,3
177,8
179,8
180,1
181,4
182,1
183,2
185,2
185,4
185,7
186,2
186,6
187,2
187,5
188,1
190,1
191,6
193,3
194,7
195,8
196,8
197,3
197,5
198,3
198,7
199,1
201,4
201,5
201,7
203,6
204,7
205,5
205,6
206,6
208,3
210,6
211,3
211,8
213,1
214,2
214,6
215,7
216,5
219,2
220,2
223,4
223,5
226,3
227,1
228,4
229,3
229,4
229,8
230,3
231,3
231,8
233,2
234,5
235,1
236,4
237,7
238,7
239,1
240,4
241,5
241,6
242,2
243,2
243,7
244,8
245,7
246,3
246,4
247,2
248,5
